avaliacao,empresa,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita,senioridade,cargo,salario_medio,cidade_vaga,estado_vaga,pais_vaga,cidade_sede,pais_sede,escala_tamanho,remoto,latitude,longitude,nome_estado_vaga
3.6,Powertek,51 to 200 employees,2001.0,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),,Data scientist,105.0,Washington,DC,United States of America,Rockville,United States of America,Pequeno,False,38.912217,-77.017691,District of Columbia
4.7,Object Partners,51 to 200 employees,1996.0,Company - Private,Consulting,Business Services,$25 to $50 million (USD),,Data engineer,105.0,Saint Louis,MO,United States of America,Minneapolis,United States of America,Pequeno,False,38.642574,-90.324189,Missouri
4.9,The Mom Project,1 to 50 employees,2016.0,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,Data scientist,105.0,Longmont,CO,United States of America,Chicago,United States of America,Pequeno,False,40.177921,-105.10095,Colorado
4.3,Lightspeed Systems,51 to 200 employees,1999.0,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),,Data scientist,105.0,Austin,TX,United States of America,Austin,United States of America,Pequeno,False,30.210692,-97.942749,Texas
4.0,Stripe,1001 to 5000 employees,2010.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Manager,outro,105.0,San Francisco,CA,United States of America,San Francisco,United States of America,Grande,False,37.775,-122.4183,California
2.6,Comprehensive Healthcare,501 to 1000 employees,1971.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,Data analyst,105.0,Yakima,WA,United States of America,Yakima,United States of America,Médio,False,46.606991,-120.477336,Washington
4.5,"Fullpower Technologies, Inc.",51 to 200 employees,2003.0,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),,Data scientist,105.0,Santa Cruz,CA,United States of America,Santa Cruz,United States of America,Pequeno,False,36.982946,-122.043612,California
4.8,Klaviyo,201 to 500 employees,2012.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,Machine learning engineer,105.0,Boston,MA,United States of America,Boston,United States of America,Médio,False,42.357603,-71.068432,Massachusetts
3.9,Mars,10000+ employees,1911.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),,Data scientist,105.0,United States,,,Mc Lean,United States of America,Corporação,False,,,
4.0,AstraZeneca,10000+ employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Junior,Data scientist,105.0,Gaithersburg,MD,United States of America,Cambridge,United Kingdom,Corporação,False,39.14187,-77.188993,Maryland
4.4,NuWave Solutions,51 to 200 employees,1999.0,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),,Machine learning engineer,105.0,Springfield,VA,United States of America,Mc Lean,United States of America,Pequeno,False,38.779718,-77.186582,Virginia
4.2,ManTech,5001 to 10000 employees,1968.0,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),Senior,Data scientist,105.0,Alexandria,VA,United States of America,Herndon,United States of America,Grande,False,38.820042,-77.058901,Virginia
3.6,Merrick Bank,201 to 500 employees,1997.0,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Senior,Data scientist,105.0,Utah,,,South Jordan,United States of America,Médio,False,,,
3.4,Mathematica Policy Research,1001 to 5000 employees,1986.0,Company - Private,Consulting,Business Services,$100 to $500 million (USD),,Data scientist,115.5,Washington,DC,United States of America,Princeton,United States of America,Grande,False,38.912217,-77.017691,District of Columbia
4.4,Intuit - Data,5001 to 10000 employees,1983.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Principal,Data scientist,115.5,San Diego,CA,United States of America,Mountain View,United States of America,Grande,False,32.71852,-117.159316,California
3.5,QOMPLX,51 to 200 employees,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),,outro,115.5,Reston,VA,United States of America,Reston,United States of America,Pequeno,False,38.96,-77.3456,Virginia
3.9,Mars,10000+ employees,1911.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),,Data scientist,115.5,New York,NY,United States of America,Mc Lean,United States of America,Corporação,False,40.74838,-73.996705,New York
3.8,GutCheck,51 to 200 employees,2009.0,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),Senior,Data scientist,115.5,Denver,CO,United States of America,Denver,United States of America,Pequeno,False,39.840562,-105.007985,Colorado
3.5,Inter-American Development Bank,1001 to 5000 employees,1959.0,Other Organization,Banks & Credit Unions,Finance,$10+ billion (USD),,Data scientist,115.5,Washington,DC,United States of America,Washington,United States of America,Grande,False,38.912217,-77.017691,District of Columbia
4.9,Avlino,1 to 50 employees,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),,Data scientist,115.5,New Jersey,,,Holmdel,United States of America,Pequeno,False,,,
4.4,Stratagem Group,1 to 50 employees,2007.0,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,,Machine learning engineer,115.5,Aurora,CO,United States of America,Aurora,United States of America,Pequeno,False,39.737809,-104.815233,Colorado
4.1,Evidation,51 to 200 employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,Data scientist,115.5,Santa Barbara,CA,United States of America,San Mateo,United States of America,Pequeno,False,34.419668,-119.70782,California
4.0,Autodesk,5001 to 10000 employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Senior,Data scientist,115.5,San Francisco,CA,United States of America,San Rafael,United States of America,Grande,False,37.775,-122.4183,California
4.4,Intuit - Data,5001 to 10000 employees,1983.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Principal,Data scientist,115.5,San Diego,CA,United States of America,Mountain View,United States of America,Grande,False,32.71852,-117.159316,California
3.8,Tecolote Research,501 to 1000 employees,1973.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),,Data scientist,115.5,Hill AFB,UT,United States of America,Goleta,United States of America,Médio,False,41.116962,-111.995565,Utah
3.2,Tivity Health,501 to 1000 employees,1981.0,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Senior,Data engineer,115.5,Chandler,AZ,United States of America,Franklin,United States of America,Médio,False,33.330091,-111.863156,Arizona
2.9,hc1,51 to 200 employees,2011.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),,Data engineer,115.5,Indianapolis,IN,United States of America,Indianapolis,United States of America,Pequeno,False,39.938417,-86.13894,Indiana
4.1,HP Inc.,10000+ employees,1939.0,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Lead,Data scientist,115.5,San Diego,CA,United States of America,Palo Alto,United States of America,Corporação,False,32.71852,-117.159316,California
3.7,SAIC,10000+ employees,2013.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),,Data scientist,115.5,Chantilly,VA,United States of America,Reston,United States of America,Corporação,False,38.8865,-77.4393,Virginia
3.2,AllianceBernstein,1001 to 5000 employees,1967.0,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),,Data analyst,115.5,Nashville,TN,United States of America,New York,United States of America,Grande,False,36.167028,-86.778441,Tennessee
